std_ID,code_cs_ID,nbre_jetons_niveau1_acquis,nbre_jetons_niveau2_acquis,niveau_atteint_Cs,ratio_jeton_niv_de_0_à_1,ratio_jeton_niv_de_1_à_2,niv_max_possible
120,0,0,0,0,0,0,2
121,0,0,4,2,100,100,2
122,0,0,4,2,100,100,2
123,0,0,4,2,100,100,2
124,0,0,4,2,100,100,2
125,0,0,4,2,100,100,2
126,0,0,4,2,100,100,2
127,0,0,4,2,100,100,2
128,0,0,4,2,100,100,2
129,0,0,4,2,100,100,2
130,0,0,4,2,100,100,2
131,0,0,4,2,100,100,2
132,0,0,4,2,100,100,2
133,0,0,4,2,100,100,2
134,0,0,4,2,100,100,2
135,0,0,4,2,100,100,2
136,0,0,4,2,100,100,2
137,0,0,4,2,100,100,2
138,0,0,4,2,100,100,2
139,0,0,4,2,100,100,2
140,0,0,4,2,100,100,2
141,0,0,4,2,100,100,2
142,0,0,4,2,100,100,2
143,0,0,4,2,100,100,2
144,0,0,4,2,100,100,2
145,0,0,4,2,100,100,2
146,0,0,4,2,100,100,2
147,0,0,4,2,100,100,2
148,0,0,4,2,100,100,2
149,0,0,4,2,100,100,2
150,0,0,4,2,100,100,2
151,0,0,4,2,100,100,2
152,0,0,4,2,100,100,2
153,0,0,4,2,100,100,2
154,0,0,4,2,100,100,2
155,0,0,4,2,100,100,2
156,0,0,0,0,0,0,2
157,0,0,0,0,0,0,2
158,0,0,4,2,100,100,2
159,0,0,4,2,100,100,2
160,0,0,4,2,100,100,2
161,0,0,4,2,100,100,2
162,0,0,4,2,100,100,2
163,0,0,4,2,100,100,2
164,0,0,4,2,100,100,2
165,0,0,4,2,100,100,2
166,0,0,4,2,100,100,2
167,0,0,4,2,100,100,2
168,0,0,4,2,100,100,2
169,0,0,4,2,100,100,2
170,0,0,4,2,100,100,2
171,0,0,4,2,100,100,2
172,0,0,4,2,100,100,2
173,0,0,4,2,100,100,2
174,0,0,4,2,100,100,2
175,0,0,4,2,100,100,2
176,0,0,4,2,100,100,2
177,0,0,4,2,100,100,2
178,0,0,0,0,0,0,2
179,0,0,4,2,100,100,2
180,0,0,4,2,100,100,2
181,0,0,4,2,100,100,2
182,0,0,0,0,0,0,2
183,0,0,4,2,100,100,2
184,0,0,4,2,100,100,2
185,0,0,4,2,100,100,2
186,0,0,4,2,100,100,2
187,0,0,4,2,100,100,2
188,0,0,4,2,100,100,2
189,0,0,4,2,100,100,2
190,0,0,0,0,0,0,2
191,0,0,4,2,100,100,2
192,0,0,4,2,100,100,2
193,0,0,4,2,100,100,2
194,0,0,4,2,100,100,2
0,1,0,4,2,100,100,2
1,1,0,4,2,100,100,2
2,1,0,4,2,100,100,2
3,1,0,4,2,100,100,2
4,1,0,4,2,100,100,2
5,1,0,0,0,0,0,2
6,1,0,4,2,100,100,2
7,1,0,4,2,100,100,2
8,1,0,4,2,100,100,2
9,1,0,4,2,100,100,2
10,1,0,4,2,100,100,2
11,1,0,4,2,100,100,2
12,1,0,4,2,100,100,2
13,1,0,0,0,0,0,2
14,1,0,4,2,100,100,2
15,1,0,4,2,100,100,2
16,1,0,4,2,100,100,2
17,1,0,4,2,100,100,2
18,1,0,4,2,100,100,2
19,1,0,4,2,100,100,2
20,1,0,0,0,0,0,2
21,1,0,4,2,100,100,2
22,1,0,4,2,100,100,2
23,1,0,4,2,100,100,2
24,1,0,4,2,100,100,2
25,1,0,4,2,100,100,2
26,1,0,4,2,100,100,2
27,1,0,4,2,100,100,2
28,1,0,4,2,100,100,2
29,1,0,4,2,100,100,2
30,1,0,4,2,100,100,2
31,1,0,4,2,100,100,2
32,1,0,4,2,100,100,2
33,1,0,4,2,100,100,2
34,1,0,4,2,100,100,2
35,1,0,4,2,100,100,2
36,1,0,4,2,100,100,2
37,1,0,4,2,100,100,2
38,1,0,4,2,100,100,2
39,1,0,4,2,100,100,2
