,std_ID,cs_ID,cg_ID,semestre,moyenne,grade,grade_ECTS,lieu,time_id
202,20,10,3,S2,15.0,au dessus,A,Nantes,0
203,20,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
204,20,12,3,S2,10.0,atteint,A,Nantes,0
205,20,13,3,S1,10.0,atteint,C,Nantes,1
206,20,14,3,S2,15.0,au dessus,A,Nantes,0
207,21,0,0,S2,10.0,atteint,B,Nantes,0
208,21,1,0,S2,10.0,atteint,B,Nantes,0
209,21,3,1,S2,10.0,atteint,B,Nantes,0
210,21,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
211,21,10,3,S2,15.0,au dessus,A,Nantes,0
212,21,11,3,S1,3.333,en dessous,F,Nantes,1
213,21,12,3,S2,10.0,atteint,A,Nantes,0
214,21,13,3,S1,0.0,en dessous,F,Nantes,1
215,21,14,3,S2,10.0,atteint,C,Nantes,0
216,22,0,0,S2,10.0,atteint,B,Nantes,0
217,22,1,0,S2,10.0,atteint,B,Nantes,0
218,22,3,1,S2,10.0,atteint,B,Nantes,0
219,22,9,3,S1,10.0,atteint,C,Nantes,1
220,22,10,3,S2,5.0,en dessous,F,Nantes,0
221,22,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
222,22,12,3,S2,20.0,au dessus,A,Nantes,0
223,22,13,3,S1,0.0,en dessous,F,Nantes,1
224,22,14,3,S2,15.0,au dessus,A,Nantes,0
225,23,0,0,S2,20.0,au dessus,A,Nantes,0
226,23,1,0,S2,10.0,atteint,B,Nantes,0
227,23,3,1,S2,20.0,au dessus,A,Nantes,0
228,23,9,3,S1,16.667,au dessus,A,Nantes,1
229,23,10,3,S2,10.0,atteint,C,Nantes,0
230,23,11,3,S1,13.333,au dessus,B,Nantes,1
231,23,12,3,S2,10.0,atteint,A,Nantes,0
232,23,13,3,S1,20.0,au dessus,A,Nantes,1
233,23,14,3,S2,12.5,au dessus,B,Nantes,0
234,24,0,0,S2,10.0,atteint,B,Nantes,0
235,24,1,0,S2,10.0,atteint,B,Nantes,0
236,24,3,1,S2,10.0,atteint,B,Nantes,0
237,24,9,3,S1,13.333,au dessus,B,Nantes,1
238,24,10,3,S2,5.0,en dessous,F,Nantes,0
239,24,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
240,24,12,3,S2,10.0,atteint,A,Nantes,0
241,24,13,3,S1,10.0,atteint,C,Nantes,1
242,24,14,3,S2,12.5,au dessus,B,Nantes,0
243,25,0,0,S2,10.0,atteint,B,Nantes,0
244,25,1,0,S2,10.0,atteint,B,Nantes,0
245,25,3,1,S2,10.0,atteint,B,Nantes,0
246,25,9,3,S1,10.0,atteint,C,Nantes,1
247,25,10,3,S2,7.5,en dessous,F,Nantes,0
248,25,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
249,25,12,3,S2,10.0,atteint,A,Nantes,0
250,25,13,3,S1,0.0,en dessous,F,Nantes,1
251,25,14,3,S2,7.5,en dessous,F,Nantes,0
252,26,0,0,S2,20.0,au dessus,A,Nantes,0
253,26,1,0,S2,20.0,au dessus,A,Nantes,0
254,26,3,1,S2,20.0,au dessus,A,Nantes,0
255,26,7,2,S1,20.0,au dessus,A,Nantes,1
256,26,9,3,S1,13.333,au dessus,B,Nantes,1
257,26,10,3,S2,12.5,au dessus,B,Nantes,0
258,26,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
259,26,12,3,S2,10.0,atteint,A,Nantes,0
260,26,13,3,S1,10.0,atteint,C,Nantes,1
261,26,14,3,S2,15.0,au dessus,A,Nantes,0
262,27,0,0,S2,10.0,atteint,B,Nantes,0
263,27,1,0,S2,10.0,atteint,B,Nantes,0
264,27,3,1,S2,15.0,au dessus,B,Nantes,0
265,27,7,2,S2,20.0,au dessus,A,Nantes,0
266,27,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
267,27,10,3,S2,7.5,en dessous,F,Nantes,0
268,27,11,3,S1,10.0,atteint,C,Nantes,1
269,27,12,3,S2,10.0,atteint,A,Nantes,0
270,27,13,3,S1,0.0,en dessous,F,Nantes,1
271,27,14,3,S2,10.0,atteint,C,Nantes,0
272,28,0,0,S2,10.0,atteint,B,Nantes,0
273,28,1,0,S2,10.0,atteint,B,Nantes,0
274,28,3,1,S2,10.0,atteint,B,Nantes,0
275,28,7,2,S2,0.0,en dessous,F,Nantes,0
276,28,9,3,S1,10.0,atteint,C,Nantes,1
277,28,10,3,S2,12.5,au dessus,B,Nantes,0
278,28,11,3,S1,16.667,au dessus,A,Nantes,1
279,28,12,3,S2,20.0,au dessus,A,Nantes,0
280,28,13,3,S1,20.0,au dessus,A,Nantes,1
281,28,14,3,S2,12.5,au dessus,B,Nantes,0
282,29,0,0,S2,20.0,au dessus,A,Nantes,0
283,29,1,0,S2,10.0,atteint,B,Nantes,0
284,29,3,1,S2,20.0,au dessus,A,Nantes,0
285,29,5,1,S2,0.0,en dessous,F,Nantes,0
286,29,8,2,S2,20.0,au dessus,A,Nantes,0
287,29,9,3,S1,13.333,au dessus,B,Nantes,1
288,29,10,3,S2,17.5,au dessus,A,Nantes,0
289,29,11,3,S1,13.333,au dessus,B,Nantes,1
290,29,12,3,S2,10.0,atteint,A,Nantes,0
291,29,13,3,S1,10.0,atteint,C,Nantes,1
292,29,14,3,S2,15.0,au dessus,A,Nantes,0
293,30,0,0,S2,10.0,atteint,B,Nantes,0
294,30,1,0,S2,10.0,atteint,B,Nantes,0
295,30,3,1,S2,20.0,au dessus,A,Nantes,0
296,30,5,1,S2,0.0,en dessous,F,Nantes,0
297,30,9,3,S1,10.0,atteint,C,Nantes,1
298,30,10,3,S2,10.0,atteint,C,Nantes,0
299,30,11,3,S1,6.667000000000001,en dessous,F,Nantes,1
300,30,12,3,S2,10.0,atteint,A,Nantes,0
301,30,13,3,S1,10.0,atteint,C,Nantes,1
302,30,14,3,S2,10.0,atteint,C,Nantes,0
303,31,0,0,S2,20.0,au dessus,A,Nantes,0
304,31,1,0,S2,10.0,atteint,B,Nantes,0
305,31,3,1,S2,15.0,au dessus,B,Nantes,0
306,31,4,1,S1,20.0,au dessus,A,Nantes,1
307,31,9,3,S1,10.0,atteint,C,Nantes,1
308,31,10,3,S2,12.5,au dessus,B,Nantes,0
309,31,11,3,S1,13.333,au dessus,B,Nantes,1
310,31,12,3,S2,10.0,atteint,A,Nantes,0
311,31,13,3,S1,10.0,atteint,C,Nantes,1
312,31,14,3,S2,12.5,au dessus,B,Nantes,0
313,32,0,0,S2,10.0,atteint,B,Nantes,0
314,32,1,0,S2,10.0,atteint,B,Nantes,0
315,32,3,1,S2,10.0,atteint,B,Nantes,0
316,32,9,3,S1,10.0,atteint,C,Nantes,1
317,32,10,3,S2,10.0,atteint,C,Nantes,0
318,32,11,3,S1,10.0,atteint,C,Nantes,1
319,32,12,3,S2,10.0,atteint,A,Nantes,0
320,32,13,3,S1,10.0,atteint,C,Nantes,1
321,32,14,3,S2,12.5,au dessus,B,Nantes,0
322,33,0,0,S2,10.0,atteint,B,Nantes,0
323,33,1,0,S2,10.0,atteint,B,Nantes,0
324,33,3,1,S2,10.0,atteint,B,Nantes,0
325,33,9,3,S1,6.667000000000001,en dessous,F,Nantes,1
326,33,10,3,S2,7.5,en dessous,F,Nantes,0
327,33,11,3,S1,3.333,en dessous,F,Nantes,1
328,33,12,3,S2,10.0,atteint,A,Nantes,0
329,33,13,3,S1,0.0,en dessous,F,Nantes,1
330,33,14,3,S2,15.0,au dessus,A,Nantes,0
331,34,0,0,S2,20.0,au dessus,A,Nantes,0
332,34,1,0,S2,10.0,atteint,B,Nantes,0
333,34,3,1,S2,10.0,atteint,B,Nantes,0
334,34,9,3,S1,10.0,atteint,C,Nantes,1
335,34,10,3,S2,7.5,en dessous,F,Nantes,0
336,34,11,3,S1,3.333,en dessous,F,Nantes,1
337,34,12,3,S2,10.0,atteint,A,Nantes,0
338,34,13,3,S1,0.0,en dessous,F,Nantes,1
339,34,14,3,S2,10.0,atteint,C,Nantes,0
340,35,0,0,S2,10.0,atteint,B,Nantes,0
341,35,1,0,S2,10.0,atteint,B,Nantes,0
342,35,3,1,S2,10.0,atteint,B,Nantes,0
343,35,9,3,S1,10.0,atteint,C,Nantes,1
344,35,10,3,S2,10.0,atteint,C,Nantes,0
345,35,11,3,S1,10.0,atteint,C,Nantes,1
346,35,12,3,S2,10.0,atteint,A,Nantes,0
347,35,13,3,S1,10.0,atteint,C,Nantes,1
348,35,14,3,S2,10.0,atteint,C,Nantes,0
349,36,0,0,S2,10.0,atteint,B,Nantes,0
350,36,1,0,S2,10.0,atteint,B,Nantes,0
351,36,3,1,S2,10.0,atteint,B,Nantes,0
352,36,5,1,S2,0.0,en dessous,F,Nantes,0
353,36,9,3,S1,10.0,atteint,C,Nantes,1
354,36,10,3,S2,5.0,en dessous,F,Nantes,0
355,36,11,3,S1,0.0,en dessous,F,Nantes,1
356,36,12,3,S2,10.0,atteint,A,Nantes,0
357,36,13,3,S1,0.0,en dessous,F,Nantes,1
358,36,14,3,S2,7.5,en dessous,F,Nantes,0
359,37,0,0,S2,10.0,atteint,B,Nantes,0
360,37,1,0,S2,10.0,atteint,B,Nantes,0
361,37,3,1,S2,10.0,atteint,B,Nantes,0
362,37,5,1,S2,0.0,en dessous,F,Nantes,0
363,37,9,3,S1,13.333,au dessus,B,Nantes,1
364,37,10,3,S2,7.5,en dessous,F,Nantes,0
365,37,11,3,S1,3.333,en dessous,F,Nantes,1
366,37,12,3,S2,10.0,atteint,A,Nantes,0
367,37,13,3,S1,0.0,en dessous,F,Nantes,1
368,37,14,3,S2,12.5,au dessus,B,Nantes,0
369,38,0,0,S2,10.0,atteint,B,Nantes,0
370,38,1,0,S2,10.0,atteint,B,Nantes,0
371,38,3,1,S2,10.0,atteint,B,Nantes,0
372,38,9,3,S1,16.667,au dessus,A,Nantes,1
373,38,10,3,S2,12.5,au dessus,B,Nantes,0
374,38,11,3,S1,13.333,au dessus,B,Nantes,1
